Date,POUND_Rate,Buy,Sell
14/02/2022,153.8953,153.74,154.0506
11/2/2022,153.8541,153.7012,154.0071
10/2/2022,153.8906,153.7371,154.0441
9/2/2022,153.7871,153.6318,153.9424
8/2/2022,153.5612,153.4076,153.7147
7/2/2022,153.7853,153.6347,153.9359
4/2/2022,153.6479,153.4947,153.8012
3/2/2022,153.3412,153.1865,153.4959
2/2/2022,152.8794,152.7324,153.0265
1/2/2022,152.5824,152.4235,152.7412
31/01/2022,152.5526,152.3994,152.7059
28/01/2022,152.6029,152.4482,152.7576
27/01/2022,153.16,153.0082,153.3118
26/01/2022,153.0818,152.9206,153.2429
25/01/2022,153.535,153.3812,153.6888
24/01/2022,153.9971,153.8465,154.1476
21/01/2022,154.2982,154.1412,154.4553
20/01/2022,154.5668,154.4082,154.7253
19/01/2022,154.3244,154.16,154.4888
18/01/2022,154.6474,154.4859,154.8088
17/01/2022,155.0606,154.9047,155.2165
14/01/2022,155.1326,154.9788,155.2865
13/01/2022,154.2744,154.1218,154.4271
12/1/2022,153.8135,153.6659,153.9612
11/1/2022,153.6771,153.5235,153.8306
10/1/2022,153.2485,153.0947,153.4024
7/1/2022,153.1135,152.9618,153.2653
6/1/2022,152.9909,152.8359,153.1459
5/1/2022,152.5168,152.3665,152.6671
4/1/2022,152.4871,152.3376,152.6365
3/1/2022,152.3362,152.1853,152.4871
31/12/2021,152.0538,151.9024,152.2053
30/12/2021,151.7212,151.5682,151.8741
29/12/2021,151.6124,151.46,151.7647
28/12/2021,151.2512,151.0941,151.4082
24/12/2021,151.045,150.8953,151.1947
23/12/2021,150.2253,150.0776,150.3729
22/12/2021,149.8026,149.6541,149.9512
21/12/2021,149.6976,149.5488,149.8465
20/12/2021,150.3759,150.2276,150.5241
17/12/2021,150.4121,150.2647,150.5594
16/12/2021,149.5988,149.4524,149.7453
15/12/2021,149.3724,149.2259,149.5188
14/12/2021,149.1438,148.9988,149.2888
10/12/2021,149.0318,148.8788,149.1847
9/12/2021,149.1362,148.9865,149.2859
8/12/2021,149.5271,149.3765,149.6776
7/12/2021,149.5906,149.4418,149.7394
6/12/2021,149.665,149.5141,149.8159
3/12/2021,149.9059,149.7506,150.0612
2/12/2021,149.9885,149.8371,150.14
1/12/2021,150.0506,149.8982,150.2029
30/11/2021,150.1056,149.95,150.2612
29/11/2021,149.8982,149.7482,150.0482
26/11/2021,149.9706,149.8188,150.1224
25/11/2021,150.4156,150.2647,150.5665
24/11/2021,150.4159,150.2671,150.5647
23/11/2021,151.0024,150.8565,151.1482
22/11/2021,150.9976,150.8494,151.1459
19/11/2021,151.2888,151.1406,151.4371
18/11/2021,150.8,150.6512,150.9488
17/11/2021,150.5712,150.4235,150.7188
16/11/2021,150.2912,150.1424,150.44
15/11/2021,149.8668,149.7194,150.0141
12/11/2021,150.1438,149.9941,150.2935
11/11/2021,151.1271,150.9747,151.2794
10/11/2021,151.3641,151.2124,151.5159
9/11/2021,150.7091,150.5641,150.8541
8/11/2021,150.8106,150.6576,150.9635
5/11/2021,151.8309,151.6771,151.9847
4/11/2021,152.0344,151.8776,152.1912
3/11/2021,152.0574,151.9024,152.2124
2/11/2021,152.3838,152.23,152.5376
1/11/2021,153.3209,153.1665,153.4753
29/10/2021,152.9632,152.81,153.1165
28/10/2021,152.9006,152.7506,153.0506
27/10/2021,153.2806,153.1271,153.4341
26/10/2021,152.9644,152.8112,153.1176
25/10/2021,153.2215,153.0676,153.3753
22/10/2021,153.3191,153.1676,153.4706
21/10/2021,153.3947,153.2412,153.5482
19/10/2021,152.2029,152.0488,152.3571
18/10/2021,152.0597,151.9041,152.2153
15/10/2021,151.8897,151.7365,152.0429
14/10/2021,150.83,150.6765,150.9835
